title,text,subject,date,label,combined
" 2017""",left-news,"""Mar 5"," 2017""",FALSE, leftnews
,,,,TRUE,
" 2017 """,,,,TRUE, 
" 2017""",,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
"""September 9"," 2017 """,,,TRUE,september    
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017""",,,,TRUE,
,,,,TRUE,
"""July 28"," 2017 """,,,TRUE,july    
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""Sep 23"," 2017""",,,TRUE,sep   
,,,,TRUE,
" 2017""",,,,TRUE,
" Missouri to help push our plan for HISTORIC TAX CUTS across the finish line. A successful vote in the Senate this week will bring us one giant step closer to delivering an incredible victory for the American people! (link: instagram.com/p/BcFs_kXgTG5/) [1334 EST] -- Source link: (bit.ly/2jBh4LU) (bit.ly/2jpEXYR) """,politicsNews,"""November 29"," 2017 """,TRUE,missouri to help push our plan for historic tax cuts across the finish line a successful vote in the senate this week will bring us one giant step closer to delivering an incredible victory for the american people link instagramcompbcfskxgtg  est  source link bitlyjbhlu bitlyjpexyr  politicsnews
" journalists and activists took to Twitter to express their outrage and denounce intolerance and any threat to free speech.  Karnataka state s chief minister Siddaramaiah called it an  assassination on democracy . """,worldnews,"""September 5"," 2017 """,TRUE,journalists and activists took to twitter to express their outrage and denounce intolerance and any threat to free speech  karnataka state s chief minister siddaramaiah called it an  assassination on democracy   worldnews
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
worldnews,"""September 1"," 2017 """,,TRUE,worldnews september 
,,,,TRUE,
,,,,TRUE,
" to finance Agrokor s operations through a 15-month period of restructuring. It said that the loan deal was not transparent and appeared to favor some creditors. The government and Agrokor s crisis manager Ante Ramljak reject the accusations. """,worldnews,"""November 10"," 2017 """,TRUE,to finance agrokor s operations through a month period of restructuring it said that the loan deal was not transparent and appeared to favor some creditors the government and agrokor s crisis manager ante ramljak reject the accusations  worldnews
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
Government News,"""Jan 9"," 2017""",,FALSE,government news jan 
,,,,TRUE,
" and for Malaysians in Myanmar to  take all necessary precautions  and be aware of the security situation.   """,worldnews,"""September 5"," 2017 """,TRUE,and for malaysians in myanmar to  take all necessary precautions  and be aware of the security situation    worldnews
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" and even a woman who books banquet halls for hotels in Washington D.C.Featured Image by Pool/Getty Images""",News,"""June 11"," 2017""",FALSE,and even a woman who books banquet halls for hotels in washington dcfeatured image by poolgetty images news
,,,,TRUE,
worldnews,"""December 14"," 2017 """,,TRUE,worldnews december 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
worldnews,"""December 13"," 2017 """,,TRUE,worldnews december 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""Jul 4"," 2017""",,,TRUE,jul   
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""December 6"," 2017 """,,,TRUE,december    
" is co-sponsored by 55 senators. Flake said he thought it could get 70 votes in the 100-member Senate if the chamberâ¬""s Republican leaders allowed a vote.  """,politicsNews,"""June 16"," 2017 """,TRUE,is cosponsored by  senators flake said he thought it could get  votes in the member senate if the chambers republican leaders allowed a vote   politicsnews
,,,,TRUE,
left-news,"""Dec 19"," 2017""",,FALSE,leftnews dec 
politics,"""May 22"," 2017""",,FALSE,politics may 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" where he states  clearly  that Obama didn t pay ransom to Iran for the release of American hostages. Watch him as he tries to turn the conversation to  right-wingers  in US working with  right wingers  in Iran. Really?  """,left-news,"""Mar 27"," 2017""",FALSE,where he states  clearly  that obama didn t pay ransom to iran for the release of american hostages watch him as he tries to turn the conversation to  rightwingers  in us working with  right wingers  in iran really   leftnews
,,,,TRUE,
Middle-east,"""January 31"," 2017""",,TRUE,middleeast january 
" a Democrat. The defense policy bill has yet to be considered by the full House. """,politicsNews,"""June 29"," 2017 """,TRUE,a democrat the defense policy bill has yet to be considered by the full house  politicsnews
,,,,TRUE,
" were done that are so anti what the FBI and United States is all about Read more: conservative treehouse""",politics,"""Dec 20"," 2017""",FALSE,were done that are so anti what the fbi and united states is all about read more conservative treehouse politics
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""November 8"," 2017 """,,,TRUE,november    
politicsNews,"""July 25"," 2017 """,,TRUE,politicsnews july 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" Armenia and Azerbaijan met for talks in Brussels. """,worldnews,"""November 24"," 2017 """,TRUE,armenia and azerbaijan met for talks in brussels  worldnews
" 2017 """,,,,TRUE, 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" wow.This isn t okay AT ALL.Watch here:Featured Photo by Win McNamee/Getty Images""",News,"""March 2"," 2017""",FALSE,wowthis isn t okay at allwatch herefeatured photo by win mcnameegetty images news
worldnews,"""November 29"," 2017 """,,TRUE,worldnews november 
,,,,TRUE,
,,,,TRUE,
"""November 23"," 2017 """,,,TRUE,november    
,,,,TRUE,
,,,,TRUE,
"""Nov 21"," 2017""",,,TRUE,nov   
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""Apr 25"," 2017""",,,TRUE,apr   
" 2017 """,,,,TRUE, 
